id,city,province,country,zipCode,type,hasAirCondition,hasGarden,hasPool,isCloseToBeach,dailyPrice,currency,roomsNumber
IY5Dl,city89,province71,South Africa,YrcXD,Deluxe,true,false,false,false,38.05,$,1
cjjen,city67,province25,country,QX0dM,Villa,false,true,true,true,44.77,$,1
GiU4p,city16,province60,India,QJsBf,Single Floor,false,false,true,true,11.66,$,2
rQ50F,city45,province44,Egypt,Uu2Db,bungalow,true,false,true,false,12.59,$,2
3PPNH,city77,province83,UK,dMwlV,bungalow,true,true,false,true,0.94,$,3
ab3xZ,city96,province68,France,EqxK3,Deluxe,false,true,true,false,27.83,$,2
X7MKH,city89,province20,Thailand,PwFPy,Villa,true,false,true,true,97.54,$,0
YhwtX,city45,province84,Russia,p568H,Single Floor,false,false,false,true,30.75,$,2
u67GH,city29,province13,China,rKOgm,bungalow,true,false,true,true,52.73,$,1
Y3q5y,city80,province86,South Africa,5WAJs,bungalow,false,false,false,false,29.45,$,2
WCrgi,city30,province69,country,Tb8b1,Deluxe,false,true,false,true,45.05,$,3
HMsiu,city22,province70,India,LzQxm,Villa,true,false,true,false,3.13,$,1
65ftE,city19,province27,Egypt,thWML,Single Floor,false,false,false,false,54.2,$,2
JUr3w,city87,province44,UK,9RX1x,bungalow,false,true,false,true,38.61,$,0
PbThc,city82,province20,France,sCPMM,bungalow,true,true,true,false,9.8,$,1
ePnC2,city9,province78,Thailand,VgyWS,Deluxe,false,true,true,false,96.74,$,3
duahc,city12,province20,Russia,gt9jS,Villa,true,false,false,false,42.75,$,2
Rz6P7,city63,province64,China,ozVIi,Single Floor,false,true,true,false,42.04,$,2
j6tgY,city90,province18,South Africa,SxXI2,bungalow,true,false,true,false,83.02,$,3
nl51D,city71,province71,country,URfp3,bungalow,false,false,true,false,76.21,$,1
mQOsI,city39,province27,India,qKWwy,Deluxe,false,false,true,false,24.6,$,3
KFYON,city33,province17,Egypt,VN4aP,Villa,false,true,true,false,39.88,$,3
91uEP,city79,province44,UK,QJgmd,Single Floor,true,false,true,false,41.44,$,3
UGQnF,city23,province87,France,MSPf3,bungalow,true,true,false,false,38.01,$,2
ONrc8,city57,province11,Thailand,1QnTT,bungalow,true,false,false,true,89.82,$,1
zgcPu,city8,province74,Russia,Y7i0a,Deluxe,false,false,true,true,50.2,$,2
oAtsH,city52,province51,China,XavHg,Villa,true,false,false,false,17.87,$,3
OHUQo,city20,province29,South Africa,dQd0F,Single Floor,false,false,false,true,52.51,$,3
vFd4e,city24,province24,country,YpePG,bungalow,false,true,true,true,9.72,$,1
TMEG7,city24,province62,India,wr8a4,bungalow,true,true,false,true,76.8,$,0
o0213,city8,province32,Egypt,WyAkP,Deluxe,false,true,false,false,12.43,$,0
dWc7P,city58,province66,UK,z9tPI,Villa,true,true,true,false,72.08,$,0
s1gRa,city8,province98,France,cpnNW,Single Floor,true,true,false,true,98.73,$,1
0ac0p,city69,province42,Thailand,XA1qw,bungalow,false,false,false,false,42.49,$,3
uCJgQ,city51,province86,Russia,anryX,bungalow,true,true,true,false,60.82,$,0
ShniM,city48,province16,China,O3wrd,Deluxe,false,true,true,false,72.12,$,2
kIxv6,city40,province44,South Africa,8pJNV,Villa,true,true,true,false,49.43,$,3
pduVd,city95,province51,country,FvYeC,Single Floor,true,true,true,true,94.58,$,3
5Lxa3,city46,province9,India,pDW9Y,bungalow,false,false,false,true,11.12,$,3
pbQ1V,city72,province4,Egypt,MlD9Q,bungalow,false,true,false,true,42.58,$,0
XQJiF,city39,province82,UK,dTiMj,Deluxe,true,true,false,false,3.42,$,2
FaT1V,city69,province41,France,BzkSD,Villa,false,false,false,false,75.34,$,0
Jn47I,city0,province1,Thailand,G0EE5,Single Floor,true,true,true,true,93.19,$,2
1kCL9,city84,province7,Russia,Cu6oL,bungalow,true,false,true,true,62.47,$,1
C3jh6,city20,province60,China,ESV7r,bungalow,true,true,true,false,73.45,$,2
URTT0,city12,province21,South Africa,zFiHf,Deluxe,false,true,false,true,15.56,$,3
PkEWY,city29,province91,country,KkpTe,Villa,true,false,false,true,9.14,$,0
pH6bq,city48,province80,India,UEUrt,Single Floor,false,true,false,true,43.8,$,2
S6T6W,city54,province54,Egypt,sdzIr,bungalow,true,false,false,true,25.74,$,0
QZf70,city15,province35,UK,1bKFO,bungalow,true,false,false,false,60.94,$,0
KFKgB,city27,province52,France,tgO8M,Deluxe,true,true,false,true,28.27,$,1
n7cRG,city42,province22,Thailand,EWInW,Villa,false,true,false,true,74.66,$,0
YeuOI,city5,province33,Russia,WYtFv,Single Floor,true,true,true,false,0.55,$,0
mu5qO,city43,province4,China,ToMfy,bungalow,true,false,true,true,29.53,$,0
UHm64,city16,province94,South Africa,IRnRh,bungalow,false,false,false,false,41.35,$,2
Ht0Bf,city94,province90,country,XD6xz,Deluxe,false,true,false,true,76.83,$,1
VTb8u,city95,province58,India,kmYSC,Villa,true,false,true,false,51.94,$,0
3JKOB,city95,province50,Egypt,OnUDZ,Single Floor,true,false,false,true,34.78,$,2
kwjcr,city14,province9,UK,vLlRN,bungalow,true,false,true,true,55.26,$,1
ZbH7D,city57,province22,France,ztOyc,bungalow,false,true,true,true,99.94,$,0
mvs4Y,city25,province54,Thailand,5VegZ,Deluxe,true,true,true,true,25.48,$,2
e4xNT,city37,province11,Russia,oGQc3,Villa,true,true,false,false,96.18,$,1
4sJzs,city13,province78,China,sAcdS,Single Floor,false,false,true,true,87.22,$,1
XIBWg,city47,province9,South Africa,4C9Vs,bungalow,false,false,false,false,32.47,$,3
xdgo5,city38,province58,country,UlmzI,bungalow,false,false,true,false,38.22,$,3
sqbJS,city33,province12,India,9V9Tq,Deluxe,true,true,true,true,11.98,$,2
hfyOz,city38,province56,Egypt,o1MLV,Villa,true,true,true,true,27.08,$,3
IuXrx,city89,province6,UK,ZOTpc,Single Floor,true,false,false,false,27.01,$,0
rUYn8,city95,province7,France,Y2fVs,bungalow,true,true,true,true,46.09,$,2
VvzfB,city79,province64,Thailand,PTbhx,bungalow,false,true,true,true,42.4,$,1
HMe1R,city47,province51,Russia,4wTuv,Deluxe,false,true,true,true,63.32,$,0
NvWgv,city45,province89,China,gGEvz,Villa,false,false,false,true,21.91,$,3
J9Mvg,city58,province25,South Africa,j9DW9,Single Floor,true,true,false,true,67.75,$,1
QuYk7,city0,province50,country,EE1S7,bungalow,true,false,false,false,65.07,$,1
blg4O,city7,province84,India,744p2,bungalow,false,true,true,false,34.6,$,3
VfXVx,city82,province48,Egypt,e76Ra,Deluxe,true,true,false,true,28.47,$,1
d5srJ,city8,province84,UK,f4Bi5,Villa,true,false,false,false,14.79,$,0
7frRa,city87,province54,France,KQzvh,Single Floor,true,false,false,true,25.09,$,1
EMpCQ,city7,province76,Thailand,rfsDG,bungalow,false,false,false,false,50.2,$,0
BM6TW,city19,province29,Russia,0UrFr,bungalow,false,false,false,true,30.23,$,1
bSPxd,city44,province87,China,ndDWj,Deluxe,true,false,false,true,58.76,$,0
Sr9jp,city85,province39,South Africa,lv1JM,Villa,false,true,false,false,32.53,$,0
kqgwI,city49,province13,country,wLTai,Single Floor,false,false,true,false,81.63,$,3
ETziu,city30,province71,India,eCRPU,bungalow,true,true,true,false,70.15,$,3
6DSGu,city54,province47,Egypt,p2WtG,bungalow,true,false,true,true,45.6,$,2
ObWdg,city76,province35,UK,0xe28,Deluxe,true,true,true,true,20.98,$,2
3qlz0,city53,province15,France,hKWX2,Villa,true,true,false,true,31.61,$,0
4J74G,city97,province90,Thailand,KrNtt,Single Floor,true,true,false,false,49.78,$,1
ZVCzN,city23,province82,Russia,U7M0J,bungalow,false,false,false,false,65.97,$,1
COS36,city51,province33,China,jp2OQ,bungalow,false,false,false,false,97.26,$,1
itqqj,city28,province68,South Africa,FGFUE,Deluxe,true,false,false,true,37.04,$,3
5eb25,city72,province43,country,SR87U,Villa,true,true,false,true,21.01,$,3
p4hbJ,city3,province43,India,iXgIH,Single Floor,false,false,true,true,71.54,$,3
Qwt24,city2,province41,Egypt,8DnU1,bungalow,false,false,false,false,98.45,$,3
C4pni,city4,province70,UK,eY6XW,bungalow,false,false,false,true,18.62,$,1
61fIE,city16,province48,France,HoEJ9,Deluxe,true,true,true,false,61.07,$,0
E5vMz,city79,province12,Thailand,42guh,Villa,true,false,true,true,25.82,$,2
yjogz,city42,province9,Russia,FJjJF,Single Floor,false,false,true,false,56.97,$,1
RFp1z,city33,province25,China,9A0IR,bungalow,true,false,false,false,93.41,$,3
rogql,city84,province53,South Africa,5rijL,bungalow,false,false,false,false,2.73,$,0
8XpE5,city44,province73,country,EfDHx,Deluxe,true,false,true,true,25.1,$,3
ynVeu,city66,province82,India,73BTI,Villa,true,false,false,true,23.54,$,0
Jy1i4,city16,province33,Egypt,ZzdKW,Single Floor,true,true,false,true,67.31,$,2
O80If,city29,province35,UK,AWBBS,bungalow,true,true,true,false,66.62,$,1
bk3MF,city79,province16,France,z82qW,bungalow,true,false,true,true,70.19,$,1
Abqzb,city44,province49,Thailand,H1PJt,Deluxe,true,true,false,true,44.48,$,0
JtlQG,city72,province62,Russia,mMo3S,Villa,true,false,false,true,4.87,$,0
lipK5,city67,province37,China,oUWvD,Single Floor,false,true,true,true,58.47,$,0
mESyz,city73,province7,South Africa,6u0an,bungalow,true,false,false,false,9.37,$,2
KTxVb,city76,province19,country,XcwG0,bungalow,false,false,false,false,52.5,$,3
BUxF5,city73,province43,India,rj1wo,Deluxe,true,false,false,false,74.54,$,2
aoRb9,city34,province93,Egypt,H7PNZ,Villa,true,false,false,false,50.46,$,3
f5ohS,city81,province61,UK,Fe8c0,Single Floor,true,false,false,false,72.34,$,1
MXReK,city0,province40,France,BiTZJ,bungalow,false,true,true,true,45.36,$,1
Nbime,city82,province81,Thailand,VHPMr,bungalow,true,true,true,false,10.91,$,3
t3yVQ,city56,province86,Russia,4teSX,Deluxe,false,false,true,false,38.01,$,3
asMct,city70,province74,China,HBE4C,Villa,false,false,true,true,36.85,$,3
YV74z,city53,province38,South Africa,goL5O,Single Floor,true,true,true,false,66.22,$,1
DcNwg,city10,province47,country,L0kSD,bungalow,false,true,false,false,53.56,$,2
Eh2I1,city31,province80,India,ofabH,bungalow,false,false,false,true,29.88,$,2
M9qTN,city46,province41,Egypt,nfRT7,Deluxe,false,false,false,true,94.58,$,2
8PZhl,city28,province70,UK,TJuo1,Villa,false,false,false,false,2.09,$,2
3oVp9,city84,province7,France,1o5ry,Single Floor,false,false,false,true,77.88,$,3
VXLyF,city82,province15,Thailand,aEEvc,bungalow,false,false,true,true,92.81,$,0
a1gn7,city92,province71,Russia,EHZRk,bungalow,true,true,false,false,38.52,$,1
bnGQx,city66,province6,China,50GZI,Deluxe,false,true,true,false,8.45,$,0
O0Xn0,city91,province3,South Africa,TxjQo,Villa,true,false,false,false,48.45,$,1
eOMXD,city15,province46,country,XH0Gi,Single Floor,true,false,true,true,89.25,$,2
Bl6cy,city22,province21,India,sy6RA,bungalow,true,false,true,true,77.42,$,0
hiw1L,city95,province13,Egypt,CzXq1,bungalow,false,false,true,true,90.03,$,2
bLPGg,city85,province63,UK,0r3Yy,Deluxe,false,false,false,true,4.83,$,2
l3OeM,city23,province32,France,5lY2i,Villa,true,true,false,false,48.91,$,1
8KDUl,city7,province29,Thailand,JAB2y,Single Floor,false,true,true,true,87.2,$,2
BvOO3,city90,province81,Russia,9HGjQ,bungalow,true,false,true,true,99.11,$,3
Irosn,city80,province95,China,SkMHb,bungalow,true,true,true,false,44.79,$,3
VgNEw,city23,province45,South Africa,lsIPt,Deluxe,false,false,false,true,36.43,$,0
UycEQ,city29,province12,country,7PPSc,Villa,true,false,true,false,46.81,$,0
mydWg,city44,province75,India,wF551,Single Floor,false,false,false,false,98.32,$,1
8KkhB,city89,province44,Egypt,YahwA,bungalow,false,false,false,false,46.66,$,3
1mUIn,city78,province20,UK,hp46m,bungalow,false,false,true,false,77.94,$,0
DO8BQ,city37,province6,France,jroHQ,Deluxe,false,false,false,false,35.38,$,2
yBgXQ,city39,province77,Thailand,9baob,Villa,true,true,true,false,6.42,$,1
dMZAN,city77,province48,Russia,ApupL,Single Floor,false,true,true,true,72.47,$,2
ggcUy,city72,province33,China,xXXlu,bungalow,true,false,true,false,1.43,$,2
3EUNc,city10,province85,South Africa,NTUGK,bungalow,false,false,false,true,17.88,$,0
l5MSV,city30,province31,country,12YAq,Deluxe,false,false,true,true,51.05,$,1
yJ4vu,city11,province25,India,ngwrq,Villa,false,true,false,true,3.94,$,3
2NoUI,city51,province13,Egypt,5DrU3,Single Floor,false,false,false,true,17.0,$,2
1sDnr,city4,province34,UK,yph0X,bungalow,false,true,false,false,40.61,$,0
ZlpUF,city72,province24,France,TcUni,bungalow,true,true,false,false,77.71,$,0
sajDo,city1,province25,Thailand,dRCLd,Deluxe,false,false,true,false,76.13,$,0
F4EEw,city71,province47,Russia,gUnHH,Villa,false,true,true,false,3.76,$,3
Rcz1k,city32,province31,China,2WoSy,Single Floor,true,true,true,true,41.27,$,0
USHmU,city23,province74,South Africa,7DabK,bungalow,false,false,true,true,58.4,$,1
v9atV,city27,province67,country,vf2BU,bungalow,true,true,true,true,15.95,$,0
QksfM,city34,province93,India,dB9Gc,Deluxe,false,false,false,false,97.14,$,0
9Xzk5,city57,province27,Egypt,nywMi,Villa,true,true,true,false,39.26,$,2
3tmrL,city86,province78,UK,suNcZ,Single Floor,true,true,true,false,47.23,$,1
ZpGFl,city26,province70,France,ojJON,bungalow,false,false,false,false,48.7,$,1
XCTMi,city0,province23,Thailand,lyqO4,bungalow,false,false,false,true,50.74,$,3
A307S,city67,province41,Russia,FbqYa,Deluxe,true,false,true,false,71.72,$,0
mwzmF,city57,province70,China,PNMrx,Villa,true,false,true,false,95.83,$,3
dFwmm,city94,province87,South Africa,7DZZ2,Single Floor,false,false,true,false,71.51,$,2
ku1JH,city67,province16,country,exCk4,bungalow,false,true,true,true,26.63,$,3
rEveW,city42,province50,India,GaInI,bungalow,false,true,true,true,33.03,$,0
97H4a,city68,province39,Egypt,WOp0H,Deluxe,false,false,true,false,61.28,$,0
6MGRi,city90,province31,UK,3zbuI,Villa,false,false,false,false,84.1,$,2
T6Etj,city28,province29,France,h77q2,Single Floor,true,true,true,true,91.78,$,3
x82vk,city5,province91,Thailand,Ls2jU,bungalow,false,true,false,false,37.02,$,0
qa9qx,city95,province65,Russia,9SQ2L,bungalow,false,true,true,true,69.8,$,3
vhHZ6,city15,province21,China,oM3ft,Deluxe,false,false,false,true,20.4,$,1
gt23N,city52,province1,South Africa,mgjzM,Villa,false,true,false,true,40.43,$,3
oWXTw,city27,province50,country,Wsyl8,Single Floor,false,true,false,false,72.03,$,3
enzzh,city15,province40,India,eh4Jv,bungalow,true,false,true,false,86.5,$,2
cmOVm,city0,province98,Egypt,XT9kF,bungalow,false,false,false,true,6.47,$,3
DkT28,city46,province51,UK,QU9Lw,Deluxe,false,false,false,false,45.69,$,3
DEB2f,city94,province6,France,uNMxl,Villa,false,true,true,false,50.47,$,3
JEbnw,city14,province76,Thailand,2GLRi,Single Floor,false,false,false,false,43.39,$,2
25hsJ,city92,province33,Russia,C8bNE,bungalow,false,false,false,false,27.38,$,2
CZ5bT,city97,province14,China,8D4Jc,bungalow,false,false,false,false,70.19,$,0
zNHv4,city61,province56,South Africa,fg0QU,Deluxe,true,true,false,false,52.95,$,3
6BF8k,city37,province70,country,Bdstu,Villa,false,true,false,false,94.76,$,1
lrkcS,city60,province68,India,jgExl,Single Floor,true,true,true,false,75.18,$,1
JwI1i,city78,province13,Egypt,Xm8SY,bungalow,true,false,false,true,37.32,$,0
aRXMC,city16,province53,UK,x8B2m,bungalow,true,true,true,false,39.92,$,0
gFw9h,city82,province95,France,q52Ik,Deluxe,false,false,false,true,61.78,$,1
FdQLp,city13,province49,Thailand,ukgVC,Villa,false,false,true,true,60.52,$,1
KTRXq,city6,province14,Russia,dpEn0,Single Floor,false,false,false,false,10.37,$,1
AzQzj,city45,province76,China,nbOgp,bungalow,true,true,false,false,1.34,$,1
FhGz5,city13,province22,South Africa,6W9YJ,bungalow,false,false,true,true,49.94,$,0
M1yb4,city40,province8,country,84K7E,Deluxe,false,false,true,true,47.44,$,3
P3NpL,city17,province49,India,koe99,Villa,true,true,false,false,27.83,$,1
wdttM,city8,province88,Egypt,Aibfu,Single Floor,true,false,true,true,62.2,$,2
rMEX4,city79,province77,UK,mgsNl,bungalow,true,false,true,false,38.56,$,1
x0eV2,city97,province15,France,Gt5Pf,bungalow,true,true,true,true,45.84,$,1
hdb35,city73,province25,Thailand,MDy23,Deluxe,false,true,false,true,55.37,$,0
mDD5S,city49,province53,Russia,4Ncgk,Villa,false,true,false,false,73.26,$,2
nDBLc,city91,province29,China,2hbRJ,Single Floor,true,false,true,false,56.07,$,2
fDq1n,city10,province3,South Africa,rZmd0,bungalow,true,false,false,false,3.35,$,2
NFLEo,city66,province76,country,fREbO,bungalow,true,false,true,true,98.64,$,1
PQgV7,city76,province90,India,d1Ua3,Deluxe,true,true,true,false,33.44,$,2
lV78k,city93,province51,Egypt,uDh5M,Villa,false,false,true,false,36.9,$,0
whvR8,city16,province51,UK,krK4C,Single Floor,true,false,false,false,51.25,$,0
okhox,city26,province73,France,iLmL7,bungalow,false,true,false,false,59.89,$,0
cKASq,city55,province65,Thailand,dM9SE,bungalow,true,false,true,true,93.13,$,0
u8C4H,city45,province65,Russia,WCFTI,Deluxe,true,false,false,false,64.09,$,3
UNwY2,city57,province0,China,EvRYl,Villa,false,false,false,false,2.21,$,0
Zoljv,city13,province50,South Africa,rHJPi,Single Floor,true,false,false,false,53.12,$,2
WE4L1,city36,province91,country,cFtii,bungalow,false,true,true,false,32.45,$,1
XhoHj,city63,province15,India,JDbR8,bungalow,true,true,false,true,6.59,$,2
NRdtA,city58,province61,Egypt,a3r4q,Deluxe,false,true,false,true,84.36,$,3
K9ovx,city39,province26,UK,TFvbR,Villa,false,false,false,false,30.63,$,3
LTGwl,city32,province83,France,BiFRL,Single Floor,true,false,false,false,42.08,$,3
oZKuu,city19,province54,Thailand,J3dMV,bungalow,true,true,true,true,75.1,$,2
ecSPR,city15,province61,Russia,XV7Zl,bungalow,false,true,true,true,43.03,$,1
m94H3,city55,province68,China,Qp4dr,Deluxe,true,true,false,false,32.3,$,0
WMa9w,city41,province34,South Africa,WC6xK,Villa,true,true,true,true,27.52,$,3
4dh41,city17,province57,country,tIKwo,Single Floor,false,false,false,false,17.56,$,2
AlQhb,city65,province33,India,inxUr,bungalow,true,false,true,true,0.85,$,3
wwRNp,city63,province43,Egypt,HQjwE,bungalow,false,false,false,true,90.6,$,2
Fl9JQ,city8,province54,UK,RUVDw,Deluxe,true,false,false,false,24.11,$,3
gxjzu,city53,province17,France,LEgux,Villa,true,true,false,true,21.7,$,0
Hpszh,city61,province23,Thailand,Nc7RI,Single Floor,true,true,false,false,47.43,$,0
8nq5y,city11,province97,Russia,Yff7I,bungalow,true,true,false,false,1.01,$,2
ZoZJe,city84,province54,China,rI1VT,bungalow,false,false,false,false,34.71,$,1
y0vyS,city39,province6,South Africa,DNdLa,Deluxe,true,false,true,false,63.51,$,3
4hBi1,city19,province22,country,Mpm87,Villa,false,true,true,true,23.19,$,3
Q8pKe,city11,province98,India,bikj8,Single Floor,false,false,true,true,69.77,$,0
PTBiG,city23,province40,Egypt,GpgoI,bungalow,false,true,false,false,65.83,$,2
FfmNk,city17,province15,UK,I09Qb,bungalow,false,false,false,true,56.4,$,2
PkXtM,city53,province84,France,9MKMz,Deluxe,false,true,false,false,68.74,$,2
HURsi,city54,province98,Thailand,jaioh,Villa,true,true,false,false,49.42,$,2
1mxoA,city90,province12,Russia,NyJye,Single Floor,false,true,false,true,40.05,$,3
5TurJ,city37,province62,China,hUzTO,bungalow,false,true,false,true,95.28,$,2
7lkiS,city70,province46,South Africa,L9PbY,bungalow,true,false,false,false,62.52,$,2
CTloe,city91,province61,country,kDhjT,Deluxe,true,false,false,true,65.13,$,0
1fSXW,city88,province41,India,YmfiB,Villa,false,false,true,false,50.0,$,1
cQt6m,city10,province49,Egypt,3bi0d,Single Floor,false,false,true,true,25.71,$,0
ncchd,city2,province28,UK,FICz2,bungalow,false,false,true,true,57.14,$,3
wCCFP,city23,province94,France,MfHsY,bungalow,true,true,true,false,71.12,$,1
TKo4f,city64,province13,Thailand,rFxSg,Deluxe,false,true,false,false,7.62,$,2
sGJa5,city85,province72,Russia,Pw7Tr,Villa,false,true,false,true,82.67,$,1
LrbQZ,city10,province98,China,6ZueP,Single Floor,false,true,true,true,21.01,$,3
uZEs0,city25,province17,South Africa,mo77f,bungalow,true,false,false,false,81.69,$,3
P2SSB,city7,province8,country,XX9BD,bungalow,true,false,false,true,42.76,$,1
MVu4F,city93,province34,India,QpCUF,Deluxe,true,true,false,true,61.94,$,1
wArEp,city11,province86,Egypt,ACQdx,Villa,true,true,false,true,77.9,$,1
vYlbm,city73,province57,UK,2I5xL,Single Floor,false,false,false,true,23.95,$,1
yo1e5,city37,province56,France,kyTYi,bungalow,true,true,true,false,50.23,$,3
wyLGZ,city34,province58,Thailand,RvPRA,bungalow,true,false,false,true,95.83,$,0
6S3LR,city64,province54,Russia,Z74jl,Deluxe,true,true,true,true,26.52,$,0
pEddm,city12,province98,China,1wjqU,Villa,true,true,true,true,12.03,$,2
ueOZu,city50,province42,South Africa,m7s3h,Single Floor,true,false,true,false,50.1,$,2
DXYfj,city17,province72,country,ntSrd,bungalow,true,true,false,true,81.24,$,0
xprJJ,city97,province55,India,09Mso,bungalow,false,true,true,true,87.19,$,1
4VNCs,city80,province35,Egypt,u7haw,Deluxe,true,false,true,false,52.21,$,3
MXUKH,city61,province96,UK,FybqV,Villa,false,true,false,true,60.81,$,3
Dm6Sx,city34,province38,France,vksMX,Single Floor,false,true,true,true,42.77,$,3
1i4xE,city25,province41,Thailand,PWSOv,bungalow,false,true,true,false,16.61,$,0
wcGz0,city70,province78,Russia,2QnlA,bungalow,false,false,false,true,36.23,$,3
cNZu7,city76,province86,China,RalhR,Deluxe,true,true,false,true,30.04,$,0
MrPOS,city50,province37,South Africa,CC9Mx,Villa,true,true,false,false,35.64,$,3
Iy2iE,city66,province46,country,wo4jh,Single Floor,false,false,false,false,17.84,$,2
CJWLd,city40,province62,India,klrxl,bungalow,false,true,false,true,49.85,$,3
j19EM,city47,province27,Egypt,h5Ptu,bungalow,true,true,true,true,88.53,$,2
iWlQh,city21,province43,UK,LPTWe,Deluxe,true,true,true,true,97.83,$,2
2EBNg,city56,province56,France,J6UKE,Villa,false,false,false,true,45.25,$,0
AckKP,city45,province19,Thailand,EL3wa,Single Floor,true,true,false,false,26.64,$,2
NIoFa,city98,province15,Russia,rJLf4,bungalow,true,true,true,false,93.98,$,1
SraqI,city98,province63,China,OEPoJ,bungalow,false,true,true,false,29.45,$,0
EpH2s,city68,province61,South Africa,rbLfL,Deluxe,false,true,false,false,16.62,$,1
K2bbv,city12,province62,country,5ZjQG,Villa,true,false,false,true,73.29,$,0
h8lUm,city60,province48,India,zCWF1,Single Floor,false,false,true,true,96.18,$,3
is6en,city71,province26,Egypt,9mW0P,bungalow,true,false,true,true,7.94,$,3
LmXx2,city89,province35,UK,FtZoP,bungalow,false,false,false,false,31.75,$,0
m0HnF,city10,province73,France,tpcSg,Deluxe,false,true,false,true,22.29,$,3
GUhgb,city38,province12,Thailand,NIfBW,Villa,true,true,false,false,52.71,$,0
m32Fk,city17,province65,Russia,1qjKy,Single Floor,true,false,false,false,76.44,$,3
97mMp,city68,province63,China,onMnY,bungalow,false,false,false,true,3.64,$,3
6nx6A,city42,province66,South Africa,MGJmM,bungalow,false,false,true,true,69.69,$,0
Eojb4,city22,province53,country,KPDJ4,Deluxe,true,true,false,true,52.47,$,2
pObpQ,city84,province25,India,1LBiL,Villa,true,false,false,true,68.04,$,3
R5S2u,city36,province7,Egypt,s2hVU,Single Floor,true,true,true,false,8.92,$,1
qHiLt,city2,province98,UK,poIst,bungalow,true,true,true,false,96.64,$,3
cpcrQ,city23,province34,France,YAw4s,bungalow,false,true,true,true,0.98,$,0
xeaXs,city45,province94,Thailand,HJYOD,Deluxe,true,false,false,false,42.56,$,3
OZAhW,city96,province25,Russia,Vn8ci,Villa,true,false,true,false,94.72,$,0
6PFMf,city78,province70,China,1OpGy,Single Floor,false,false,true,false,71.5,$,1
L4I1K,city98,province69,South Africa,0rbty,bungalow,true,false,false,true,96.83,$,3
AxP1I,city14,province74,country,LdvVS,bungalow,false,false,true,true,15.05,$,3
XdLHV,city54,province41,India,BDpGX,Deluxe,true,true,true,true,55.25,$,3
vHpj5,city60,province14,Egypt,MFP8U,Villa,false,false,true,true,79.11,$,1
vo2nk,city59,province42,UK,re5eJ,Single Floor,true,true,true,false,87.66,$,1
cgw2x,city51,province93,France,2uEk9,bungalow,false,true,false,false,91.39,$,0
3SpFp,city56,province57,Thailand,V94dQ,bungalow,true,false,true,true,38.0,$,0
mC9lx,city18,province85,Russia,Rx5qN,Deluxe,true,true,false,false,21.88,$,1
FXIDu,city51,province56,China,RYxlH,Villa,true,true,false,true,62.76,$,1
Dbz22,city65,province62,South Africa,PnrP5,Single Floor,true,true,true,false,0.86,$,1
w06I0,city72,province32,country,zTr2y,bungalow,false,false,false,true,14.29,$,0
GTpzK,city84,province41,India,Z6Cfs,bungalow,true,false,true,true,5.61,$,1
4HI5R,city44,province70,Egypt,avMh1,Deluxe,false,true,false,false,88.23,$,1
